,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
Stachyose,5, 0.0800000, 0.0700000, 0.0600000, 0.0800000, 0.0800000, 0.0900000, 0.0900000, 0.0300000, 0.0900000, 0.0100000, 0.0100000, 0.0500000, 0.0400000, 0.0700000, 0.0700000, 0.0800000
L-Tryptophan,0, 0.0800000, 0.0800000, 0.0700000, 0.0700000, 0.0800000, 0.0800000, 0.0800000, 0.0300000, 0.0800000, 0.0100000, 0.0200000, 0.0500000, 0.0400000, 0.0700000, 0.0600000, 0.0800000
Pantothenic acid,13, 0.0100000, 0.0500000, 0.3900000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.5400000,0.0000000,0.0000000
Cytidine,13, 0.0200000, 0.1100000, 0.3200000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.5400000,0.0000000, 0.0100000
D-Mannose,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Anserine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Phenylacetic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
(R)-3-Hydroxybutyric acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Dehydroascorbate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
L-Histidine,13, 0.1300000, 0.2100000, 0.2200000,0.0000000, 0.0500000, 0.0100000, 0.0200000,0.0000000, 0.0100000,0.0000000,0.0000000,0.0000000,0.0000000, 0.2500000,0.0000000, 0.0900000
3-Methylthiopropionic acid,2,0.0000000,0.0000000, 0.9900000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.0100000,0.0000000,0.0000000
Shikimic acid,13, 0.0500000, 0.1700000, 0.3500000,0.0000000, 0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.4000000,0.0000000, 0.0200000
trans-Cinnamate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Fumaric acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Adenine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Thymidine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
17a-Estradiol,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Uracil,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Pyruvic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
3-(2-Hydroxyphenyl)propanoic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Kynurenic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
N-Acetylglutamic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Prostaglandin F2a,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
L-Lactic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Dimethylglycine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
L-Aspartic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
N-Acetyl-L-phenylalanine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Dehydroepiandrosterone,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
"Fructose 1,6-bisphosphate",2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
5-Aminopentanoic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Creatinine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
4-Hydroxycinnamic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
N-Acetyl-D-glucosamine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1-Naphthylamine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Phenylethylamine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Guanosine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Malonate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Salicylic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
L-Phenylalanine,1, 0.2800000, 0.3500000, 0.0500000,0.0000000, 0.0300000,0.0000000, 0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.1500000,0.0000000, 0.1200000
5-Hydroxyindoleacetic acid,13, 0.0100000, 0.1500000, 0.1100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.7200000,0.0000000,0.0000000
Threonic acid,1, 0.2100000, 0.2500000, 0.1000000,0.0000000, 0.0600000, 0.0100000, 0.0200000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.1900000,0.0000000, 0.1400000
12-Keto-leukotriene B4,13, 0.0100000, 0.0600000, 0.4600000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.4700000,0.0000000,0.0000000
1-Methylhistidine,2,0.0000000,0.0000000, 0.9200000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.0800000,0.0000000,0.0000000
N-Acetyl-alpha-D-glucosamine 1-phosphate,13,0.0000000, 0.0400000, 0.3200000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.6400000,0.0000000,0.0000000
"15-Deoxy-d-12,14-PGJ2",2,0.0000000,0.0000000, 0.9900000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.0100000,0.0000000,0.0000000
Glucosamine 6-phosphate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Gluconolactone,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2-Aminophenol,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
L-2-Hydroxyglutaric acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Jasmonic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Oxoadipic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Hepoxilin B3,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Lipoxin A4,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Ribose 1-phosphate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Sphingosine 1-phosphate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2-Isopropylmalic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Arbutin,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Thromboxane B2,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Phospho-anandamide,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Prostaglandin A2,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Alpha-D-Glucose,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
D-Octopine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
19(S)-HETE,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Geranylgeranyl-PP,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Prostaglandin B2,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Traumatic Acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
"9,10-Epoxyoctadecenoic acid",2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
12-Keto-tetrahydro-leukotriene B4,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Glyceric acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Gentisic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
"14,15-DiHETrE",2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
13S-hydroxyoctadecadienoic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
N-Formyl-L-methionine,0, 0.2000000, 0.2000000, 0.1000000,0.0000000, 0.0900000, 0.0200000, 0.0400000,0.0000000, 0.0100000,0.0000000,0.0000000,0.0000000,0.0000000, 0.1600000,0.0000000, 0.1600000
Ascorbate,2,0.0000000, 0.0200000, 0.4900000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.4900000,0.0000000,0.0000000
D-Glutamine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Hydrogen phosphate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Deoxyuridine,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
alpha-Ketoisovaleric acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Allantoic acid,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
N-Acetylmuramate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Resveratrol,13, 0.1100000, 0.3100000, 0.1500000,0.0000000, 0.0200000,0.0000000, 0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, 0.3600000,0.0000000, 0.0500000
N-Acetylaspartylglutamate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
beta-D-Fructose 6-phosphate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
"12,13-DHOME",2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
Mesaconate,2,0.0000000,0.0000000, 1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
